,councillor,x,y,z,cluster,mayor
0,Paul Ainslie,76.26233360186114,21.290303060071444,27.93539183169963,1,False
1,Brian Ashton,-58.274501621269366,-13.96689429583319,0.9987031259879369,0,False
2,Maria Augimeri,58.504473239865824,-16.510455755990638,-26.74783530025925,4,False
3,Sandra Bussin,-57.691799109143304,-15.942338630047006,1.426659505321688,0,False
4,Shelley Carroll,64.05193269361135,2.7670213409013877,37.85161804604799,1,False
5,Raymond Cho,31.861918880713773,-46.35507834163509,1.2615405503619352,2,False
6,Janet Davis,68.73882341089964,-17.40558736400854,-29.365972767962166,4,False
7,Glenn De Baeremaeker,73.3807994311678,-15.602684169408262,-31.986939098054346,4,False
8,Mike Del Grande,10.976505302403886,-59.60872345266613,17.554576091416823,2,False
9,Frank Di Giorgio,61.14981586319627,-19.653119870418397,-27.769983245715647,4,False
10,Mike Feldman,-58.9717332008688,-11.202178371613043,-0.15958684871710127,0,False
11,John Filion,62.698439190394915,22.48756178470088,21.92751953264798,1,False
12,Paula Fletcher,63.90869138791521,20.183519441899673,26.897605927056247,1,False
13,Rob Ford,8.603981968574512,-47.98223585173358,9.195163127099418,2,True
14,Adam Giambrone,-59.27344152555368,-9.227176960814786,-0.7124214769217387,0,False
15,Mark Grimes,62.570119983726514,17.01007788968878,16.43146823650948,1,False
16,Suzan Hall,-57.45796557169653,-16.87557183152144,1.9022052540172028,0,False
17,A.A. Heaps,-58.20594135820728,-13.935605277864498,0.9078854682001736,0,False
18,Doug Holyday,-5.962756834476376,-52.278604989396435,14.755910909812702,2,False
19,Cliff Jenkins,-57.8341018498361,-15.656074054343565,1.4825713102660303,0,False
20,Norman Kelly,58.781722052528394,-19.99996527612382,-26.790964312403847,4,False
21,Chin Lee,57.25683435972883,-29.13071805758226,-17.953478041222628,4,False
22,Gloria Lindsay Luby,12.845222732062872,-61.491149922756954,18.357738805133106,2,False
23,Giorgio Mammoliti,6.290452060189587,-11.581282500884027,-18.629573127972296,2,False
24,Pam McConnell,46.12144401080364,-40.20821288616669,-7.145849511249546,4,False
25,Joe Mihevc,67.04556166617826,-12.338511006111077,-26.73128678837114,4,False
26,Peter Milczyn,5.5631702981207365,-59.861807650821156,17.344629079079343,2,False
27,David Miller,-59.127883205878334,-10.675924332722365,-0.27439109310880583,0,True
28,Denzil Minnan-Wong,60.92949735997522,14.962891841200445,19.276267731393702,1,False
29,Ron Moeser,9.099193069710033,-36.948418372957505,0.7004655625631064,2,False
30,Howard Moscoe,-57.51985006925031,-16.654743518932,1.9557155665036885,0,False
31,Frances Nunziata,92.45186077982113,19.766242465846766,23.470012671897976,1,False
32,Case Ootes,-58.889973762614744,-11.421860273750971,0.08007761214497378,0,False
33,Cesar Palacio,67.96470323189463,-23.66564998887439,-25.891147341398042,4,False
34,Joe Pantalone,-58.18477340923032,-14.315813809265814,1.0851363996340555,0,False
35,John Parker,13.268449962995767,-61.05154176904953,18.443385542830743,2,False
